"","Client ID","Cluster Number"
"768",50768,1
"769",50769,2
"770",50770,7
"771",50771,4
"772",50772,6
"773",50773,7
"774",50774,8
"775",50775,7
"776",50776,6
"777",50777,2
"778",50778,3
"779",50779,4
"780",50780,7
"781",50781,3
"782",50782,5
"783",50783,6
"784",50784,7
"785",50785,2
"786",50786,2
"787",50787,7
"788",50788,2
"789",50789,7
"790",50790,7
"791",50791,2
"792",50792,2
"793",50793,2
"794",50794,5
"795",50795,2
"796",50796,7
"797",50797,2
"798",50798,2
"799",50799,2
"800",50800,5
"801",50801,8
"802",50802,4
"803",50803,7
"804",50804,4
"805",50805,3
"806",50806,7
"807",50807,3
"808",50808,4
"809",50809,2
"810",50810,5
"811",50811,2
"812",50812,7
"813",50813,7
"814",50814,3
"815",50815,7
"816",50816,2
"817",50817,6
"818",50818,3
"819",50819,2
"820",50820,7
"821",50821,6
"822",50822,2
"823",50823,1
"824",50824,2
"825",50825,2
"826",50826,3
"827",50827,2
"828",50828,5
"829",50829,3
"830",50830,6
"831",50831,1
"832",50832,6
"833",50833,7
"834",50834,7
"835",50835,7
"836",50836,2
"837",50837,2
"838",50838,7
"839",50839,7
"840",50840,8
"841",50841,4
"842",50842,6
"843",50843,2
"844",50844,5
"845",50845,6
"846",50846,7
"847",50847,2
"848",50848,2
"849",50849,2
"850",50850,7
"851",50851,6
"852",50852,4
"853",50853,6
"854",50854,2
"855",50855,2
"856",50856,5
"857",50857,2
"858",50858,2
"859",50859,2
"860",50860,3
"861",50861,5
"862",50862,2
"863",50863,8
"864",50864,2
"865",50865,8
"866",50866,5
"867",50867,3
"868",50868,5
"869",50869,6
"870",50870,7
"871",50871,6
"872",50872,7
"873",50873,4
"874",50874,2
"875",50875,2
"876",50876,3
"877",50877,6
"878",50878,7
"879",50879,2
"880",50880,7
"881",50881,3
"882",50882,8
"883",50883,2
"884",50884,7
"885",50885,3
"886",50886,5
"887",50887,2
"888",50888,2
"889",50889,2
"890",50890,4
"891",50891,2
"892",50892,3
"893",50893,1
"894",50894,3
"895",50895,7
"896",50896,4
"897",50897,8
"898",50898,2
"899",50899,1
"900",50900,7
"901",50901,6
"902",50902,7
"903",50903,2
"904",50904,7
"905",50905,2
"906",50906,6
"907",50907,7
"908",50908,2
"909",50909,2
"910",50910,3
"911",50911,5
"912",50912,4
"913",50913,7
"914",50914,4
"915",50915,6
"916",50916,5
"917",50917,4
"918",50918,2
"919",50919,4
"920",50920,2
"921",50921,6
"922",50922,2
"923",50923,7
"924",50924,4
"925",50925,7
"926",50926,5
"927",50927,2
"928",50928,7
"929",50929,6
"930",50930,2
"931",50931,3
"932",50932,7
"933",50933,2
"934",50934,3
"935",50935,7
"936",50936,2
"937",50937,2
"938",50938,7
"939",50939,7
"940",50940,2
"941",50941,7
"942",50942,2
"943",50943,1
"944",50944,3
"945",50945,3
"946",50946,6
"947",50947,6
"948",50948,3
"949",50949,1
"950",50950,1
"951",50951,5
"952",50952,2
"953",50953,7
"954",50954,5
"955",50955,2
"956",50956,2
"957",50957,2
"958",50958,3
"959",50959,3
"960",50960,2
"961",50961,7
"962",50962,4
"963",50963,2
"964",50964,1
"965",50965,8
"966",50966,3
"967",50967,8
"968",50968,2
"969",50969,6
"970",50970,3
"971",50971,4
"972",50972,2
"973",50973,2
"974",50974,3
"975",50975,5
"976",50976,2
"977",50977,2
"978",50978,3
"979",50979,3
"980",50980,1
"981",50981,7
"982",50982,6
"983",50983,2
"984",50984,2
"985",50985,7
"986",50986,2
"987",50987,5
"988",50988,2
"989",50989,3
"990",50990,7
"991",50991,7
"992",50992,2
"993",50993,2
"994",50994,2
"995",50995,2
"996",50996,4
"997",50997,7
"998",50998,5
"999",50999,2
"1000",51000,7
"1001",51001,2
"1002",51002,3
"1003",51003,2
"1004",51004,7
"1005",51005,7
"1006",51006,7
"1007",51007,2
"1008",51008,7
"1009",51009,7
"1010",51010,7
"1011",51011,2
"1012",51012,7
"1013",51013,2
"1014",51014,2
"1015",51015,3
"1016",51016,2
"1017",51017,2
"1018",51018,3
"1019",51019,8
"1020",51020,1
"1021",51021,6
"1022",51022,2
"1023",51023,7
"1024",51024,7
"1025",51025,2
"1026",51026,6
"1027",51027,2
"1028",51028,7
"1029",51029,7
"1030",51030,6
"1031",51031,6
"1032",51032,7
"1033",51033,4
"1034",51034,7
"1035",51035,2
"1036",51036,4
"1037",51037,1
"1038",51038,7
"1039",51039,5
"1040",51040,2
"1041",51041,2
"1042",51042,3
"1043",51043,3
"1044",51044,4
"1045",51045,3
"1046",51046,3
"1047",51047,2
"1048",51048,3
"1049",51049,7
"1050",51050,2
"1051",51051,2
"1052",51052,2
"1053",51053,4
"1054",51054,7
"1055",51055,2
"1056",51056,1
"1057",51057,1
"1058",51058,3
"1059",51059,2
"1060",51060,3
"1061",51061,1
"1062",51062,3
"1063",51063,2
"1064",51064,3
"1065",51065,5
"1066",51066,2
"1067",51067,4
"1068",51068,7
"1069",51069,2
"1070",51070,4
"1071",51071,2
"1072",51072,2
"1073",51073,2
"1074",51074,2
"1075",51075,3
"1076",51076,8
"1077",51077,7
"1078",51078,2
"1079",51079,3
"1080",51080,7
"1081",51081,2
"1082",51082,6
"1083",51083,8
"1084",51084,2
"1085",51085,2
"1086",51086,2
"1087",51087,2
"1088",51088,4
"1089",51089,4
"1090",51090,7
"1091",51091,4
"1092",51092,2
"1093",51093,6
"1094",51094,3
"1095",51095,3
"1096",51096,7
"1097",51097,1
"1098",51098,2
"1099",51099,5
"1100",51100,2
"1101",51101,2
"1102",51102,4
"1103",51103,6
"1104",51104,2
"1105",51105,2
"1106",51106,2
"1107",51107,7
"1108",51108,2
"1109",51109,4
"1110",51110,3
"1111",51111,7
"1112",51112,1
"1113",51113,3
"1114",51114,3
"1115",51115,4
"1116",51116,2
"1117",51117,3
"1118",51118,2
"1119",51119,7
"1120",51120,1
"1121",51121,2
"1122",51122,2
"1123",51123,3
"1124",51124,6
"1125",51125,7
"1126",51126,4
"1127",51127,2
"1128",51128,3
"1129",51129,2
"1130",51130,2
"1131",51131,2
"1132",51132,2
"1133",51133,7
"1134",51134,3
"1135",51135,6
"1136",51136,2
"1137",51137,3
"1138",51138,4
