"","Client ID","Cluster Number"
"1252",1252,2
"1253",1253,3
"1254",1254,7
"1255",1255,6
"1256",1256,8
"1257",1257,3
"1258",1258,4
"1259",1259,4
"1260",1260,7
"1261",1261,4
"1262",1262,6
"1263",1263,6
"1264",1264,2
"1265",1265,2
"1266",1266,7
"1267",1267,3
"1268",1268,2
"1269",1269,2
"1270",1270,7
"1271",1271,8
"1272",1272,1
"1273",1273,7
"1274",1274,7
"1275",1275,4
"1276",1276,4
"1277",1277,2
"1278",1278,6
"1279",1279,8
"1280",1280,6
"1281",1281,5
"1282",1282,2
"1283",1283,2
"1284",1284,5
"1285",1285,2
"1286",1286,2
"1287",1287,5
"1288",1288,4
"1289",1289,2
"1290",1290,5
"1291",1291,1
"1292",1292,7
"1293",1293,2
"1294",1294,7
"1295",1295,6
"1296",1296,7
"1297",1297,7
"1298",1298,2
"1299",1299,2
"1300",1300,1
"1301",1301,7
"1302",1302,3
"1303",1303,7
"1304",1304,4
"1305",1305,5
"1306",1306,7
"1307",1307,6
"1308",1308,2
"1309",1309,1
"1310",1310,1
"1311",1311,1
"1312",1312,2
"1313",1313,6
"1314",1314,3
"1315",1315,4
"1316",1316,6
"1317",1317,5
"1318",1318,2
"1319",1319,4
"1320",1320,7
"1321",1321,6
"1322",1322,7
"1323",1323,6
"1324",1324,2
"1325",1325,7
"1326",1326,2
"1327",1327,1
"1328",1328,2
"1329",1329,7
"1330",1330,2
"1331",1331,1
"1332",1332,2
"1333",1333,3
"1334",1334,7
"1335",1335,6
"1336",1336,6
"1337",1337,5
"1338",1338,2
"1339",1339,2
"1340",1340,2
"1341",1341,2
"1342",1342,1
"1343",1343,6
"1344",1344,7
"1345",1345,7
"1346",1346,7
"1347",1347,5
"1348",1348,6
"1349",1349,2
"1350",1350,7
"1351",1351,5
"1352",1352,4
"1353",1353,2
"1354",1354,6
"1355",1355,7
"1356",1356,7
"1357",1357,6
"1358",1358,2
"1359",1359,3
"1360",1360,1
"1361",1361,2
"1362",1362,2
"1363",1363,2
"1364",1364,3
"1365",1365,7
"1366",1366,7
"1367",1367,2
"1368",1368,3
"1369",1369,5
"1370",1370,1
"1371",1371,2
"1372",1372,7
"1373",1373,3
"1374",1374,7
"1375",1375,5
"1376",1376,7
"1377",1377,2
"1378",1378,2
"1379",1379,7
"1380",1380,8
"1381",1381,7
"1382",1382,3
"1383",1383,3
"1384",1384,3
"1385",1385,2
"1386",1386,7
"1387",1387,2
"1388",1388,7
"1389",1389,7
"1390",1390,1
"1391",1391,8
"1392",1392,1
"1393",1393,8
"1394",1394,3
"1395",1395,1
"1396",1396,2
"1397",1397,6
"1398",1398,4
"1399",1399,2
"1400",1400,3
"1401",1401,8
"1402",1402,2
"1403",1403,2
"1404",1404,4
"1405",1405,2
"1406",1406,7
"1407",1407,1
"1408",1408,1
"1409",1409,3
"1410",1410,3
"1411",1411,4
"1412",1412,7
"1413",1413,4
"1414",1414,2
"1415",1415,6
"1416",1416,2
"1417",1417,3
"1418",1418,3
"1419",1419,7
"1420",1420,8
"1421",1421,6
"1422",1422,7
"1423",1423,3
"1424",1424,7
"1425",1425,7
"1426",1426,8
"1427",1427,7
"1428",1428,7
"1429",1429,4
"1430",1430,7
"1431",1431,2
"1432",1432,6
"1433",1433,3
"1434",1434,1
"1435",1435,6
"1436",1436,7
"1437",1437,2
"1438",1438,7
"1439",1439,6
"1440",1440,2
"1441",1441,2
"1442",1442,6
"1443",1443,2
"1444",1444,2
"1445",1445,7
"1446",1446,4
"1447",1447,4
"1448",1448,3
"1449",1449,2
"1450",1450,6
"1451",1451,2
"1452",1452,3
"1453",1453,5
"1454",1454,3
"1455",1455,6
"1456",1456,2
"1457",1457,2
"1458",1458,2
"1459",1459,8
"1460",1460,4
"1461",1461,8
"1462",1462,2
"1463",1463,1
"1464",1464,7
"1465",1465,2
"1466",1466,6
"1467",1467,7
"1468",1468,2
"1469",1469,4
"1470",1470,5
"1471",1471,7
"1472",1472,5
"1473",1473,6
"1474",1474,1
"1475",1475,5
"1476",1476,2
"1477",1477,3
"1478",1478,2
"1479",1479,2
"1480",1480,8
"1481",1481,6
"1482",1482,5
"1483",1483,6
"1484",1484,7
"1485",1485,5
"1486",1486,6
"1487",1487,5
"1488",1488,1
"1489",1489,5
"1490",1490,4
"1491",1491,6
"1492",1492,2
"1493",1493,2
"1494",1494,7
"1495",1495,1
"1496",1496,7
"1497",1497,3
"1498",1498,4
"1499",1499,2
"1500",1500,1
"1501",1501,3
"1502",1502,5
"1503",1503,7
"1504",1504,2
"1505",1505,2
"1506",1506,2
"1507",1507,2
"1508",1508,3
"1509",1509,2
"1510",1510,4
"1511",1511,2
"1512",1512,7
"1513",1513,2
"1514",1514,1
"1515",1515,2
"1516",1516,6
"1517",1517,5
"1518",1518,3
"1519",1519,6
"1520",1520,4
"1521",1521,5
"1522",1522,6
"1523",1523,3
"1524",1524,8
"1525",1525,2
"1526",1526,6
"1527",1527,3
"1528",1528,2
"1529",1529,2
"1530",1530,2
"1531",1531,6
"1532",1532,8
"1533",1533,2
"1534",1534,7
"1535",1535,2
"1536",1536,7
"1537",1537,2
"1538",1538,7
"1539",1539,1
"1540",1540,5
"1541",1541,6
"1542",1542,6
"1543",1543,3
"1544",1544,7
"1545",1545,7
"1546",1546,3
"1547",1547,3
"1548",1548,7
"1549",1549,2
"1550",1550,7
"1551",1551,7
"1552",1552,3
"1553",1553,2
"1554",1554,2
"1555",1555,7
"1556",1556,2
"1557",1557,5
"1558",1558,3
"1559",1559,2
"1560",1560,3
"1561",1561,1
"1562",1562,8
"1563",1563,2
"1564",1564,3
"1565",1565,4
"1566",1566,4
"1567",1567,5
"1568",1568,7
"1569",1569,2
"1570",1570,3
"1571",1571,7
"1572",1572,6
"1573",1573,8
"1574",1574,6
"1575",1575,7
"1576",1576,2
"1577",1577,7
"1578",1578,7
"1579",1579,1
"1580",1580,4
"1581",1581,7
"1582",1582,5
"1583",1583,2
"1584",1584,6
"1585",1585,5
"1586",1586,7
"1587",1587,2
"1588",1588,2
"1589",1589,7
"1590",1590,7
"1591",1591,6
"1592",1592,6
"1593",1593,7
"1594",1594,2
"1595",1595,2
"1596",1596,8
"1597",1597,6
"1598",1598,2
"1599",1599,4
"1600",1600,2
"1601",1601,6
"1602",1602,7
"1603",1603,2
"1604",1604,7
"1605",1605,3
"1606",1606,5
"1607",1607,7
"1608",1608,2
"1609",1609,7
"1610",1610,2
"1611",1611,3
"1612",1612,7
"1613",1613,6
"1614",1614,2
"1615",1615,6
"1616",1616,3
"1617",1617,2
"1618",1618,7
"1619",1619,7
"1620",1620,1
"1621",1621,4
"1622",1622,3
"1623",1623,4
"1624",1624,7
"1625",1625,2
"1626",1626,5
"1627",1627,3
"1628",1628,8
"1629",1629,2
"1630",1630,2
"1631",1631,6
"1632",1632,2
"1633",1633,2
"1634",1634,2
"1635",1635,7
"1636",1636,2
"1637",1637,7
"1638",1638,5
"1639",1639,5
"1640",1640,2
"1641",1641,2
"1642",1642,4
"1643",1643,4
"1644",1644,2
"1645",1645,7
"1646",1646,7
"1647",1647,3
"1648",1648,7
"1649",1649,4
"1650",1650,3
"1651",1651,6
"1652",1652,7
"1653",1653,2
"1654",1654,3
"1655",1655,8
"1656",1656,7
"1657",1657,5
"1658",1658,5
"1659",1659,7
"1660",1660,3
"1661",1661,3
"1662",1662,7
"1663",1663,2
"1664",1664,4
"1665",1665,3
"1666",1666,1
"1667",1667,7
"1668",1668,2
"1669",1669,4
"1670",1670,6
"1671",1671,6
"1672",1672,4
"1673",1673,1
"1674",1674,7
"1675",1675,7
"1676",1676,2
"1677",1677,2
"1678",1678,6
"1679",1679,2
"1680",1680,2
"1681",1681,7
"1682",1682,6
"1683",1683,6
"1684",1684,2
"1685",1685,5
"1686",1686,2
"1687",1687,2
"1688",1688,5
"1689",1689,8
"1690",1690,8
"1691",1691,7
"1692",1692,6
"1693",1693,2
"1694",1694,8
"1695",1695,8
"1696",1696,7
"1697",1697,5
"1698",1698,2
"1699",1699,1
"1700",1700,7
"1701",1701,2
"1702",1702,3
"1703",1703,4
"1704",1704,8
"1705",1705,3
"1706",1706,7
"1707",1707,4
"1708",1708,8
"1709",1709,1
"1710",1710,6
"1711",1711,4
"1712",1712,7
"1713",1713,3
"1714",1714,6
"1715",1715,3
"1716",1716,2
"1717",1717,6
"1718",1718,6
"1719",1719,6
"1720",1720,4
"1721",1721,7
"1722",1722,7
"1723",1723,2
"1724",1724,7
"1725",1725,2
"1726",1726,6
"1727",1727,1
"1728",1728,7
"1729",1729,4
"1730",1730,5
"1731",1731,2
"1732",1732,7
"1733",1733,5
"1734",1734,6
"1735",1735,7
"1736",1736,4
"1737",1737,3
"1738",1738,3
"1739",1739,2
"1740",1740,4
"1741",1741,5
"1742",1742,7
"1743",1743,4
"1744",1744,1
"1745",1745,2
"1746",1746,2
"1747",1747,3
"1748",1748,6
"1749",1749,4
"1750",1750,7
"1751",1751,4
"1752",1752,1
"1753",1753,2
"1754",1754,2
"1755",1755,2
"1756",1756,3
"1757",1757,2
"1758",1758,7
"1759",1759,7
"1760",1760,2
"1761",1761,2
"1762",1762,6
"1763",1763,8
"1764",1764,7
"1765",1765,3
"1766",1766,8
"1767",1767,7
"1768",1768,4
"1769",1769,7
"1770",1770,7
"1771",1771,6
"1772",1772,7
